# version: 0.0.0-311-gfa31720-dirty
# well_width: 1.3
# ff: 0.3
# N: 18
# walls: 0
# cell dimensions: (6.31074, 6.31074, 6.31074)
# seed: 18
# de_g: 0.05
# de_density: 0.1
# translation_scale: 0.1
# neighbor_scale: 2
# energy_levels: 108
# min_T: 0.2
# fractional_sample_error after initialization: 0.0117012
# min_important_energy after initialization: 90

# histogram method: Wang-Landau
# wl_factor: 1
# wl_fmod: 2
# wl_threshold: 0.0526316
# wl_cutoff: 1e-08
# init_iter_limit: 32400000
# iterations: 32400000
# working moves: 230559750
# total moves: 583200000
# acceptance rate: 0.395336

# energy	ln(weight)
0  0
1  0
2  0
3  0
4  0
5  0
6  0
7  0
8  0
9  0
10  0
11  0
12  0
13  0
14  0
15  0
16  0
17  0
18  0
19  0
20  0
21  0
22  0
23  0
24  0
25  0
26  0
27  0
28  0
29  0
30  0
31  0
32  0
33  0
34  0
35  0
36  0
37  0
38  0
39  0
40  0
41  0
42  0
43  0
44  0.0221558
45  0.162659
46  0.338745
47  0.664856
48  1.07172
49  1.61578
50  2.24707
51  2.94714
52  3.78278
53  4.69586
54  5.70392
55  6.79297
56  7.94733
57  9.18097
58  10.4932
59  11.8053
60  13.1809
61  14.5981
62  16.1163
63  17.6271
64  19.2945
65  21.0106
66  22.7681
67  24.6284
68  26.6248
69  28.7017
70  30.8765
71  33.1526
72  35.4892
73  37.9359
74  40.4287
75  43.119
76  45.8309
77  48.6974
78  51.69
79  54.7683
80  57.9253
81  61.466
82  65.0945
83  69.3638
84  73.8894
85  78.638
86  84.6498
87  92.819
88  199.303
89  203.266
90  207.846
91  212.846
92  217.846
93  222.846
94  227.846
95  232.846
96  237.846
97  242.846
98  247.846
99  252.846
100  257.846
101  262.846
102  267.846
103  272.846
104  277.846
105  282.846
106  287.846
107  292.846
