# version: 0.0.0-211-g3ba4c9d-dirty
# well_width: 1.3
# ff: 0.3
# N: 11
# walls: 0
# cell dimensions: (4.25448, 4.25448, 8.48528)
# seed: 20
# de_g: 0.05
# de_density: 0.1
# translation_scale: 0.1
# neighbor_scale: 2
# energy_levels: 60
# min_T: 0.2
# fractional_sample_error after initialization: 0.00498261
# min_important_energy after initialization: 42

# histogram method: Wang-Landau
# wl_factor: 0.125
# wl_fmod: 2
# wl_threshold: 3
# wl_cutoff: 1e-06
# init_iter_limit: 12100000
# iterations: 12100000
# working moves: 64835100
# total moves: 133100000
# acceptance rate: 0.487116

# energy	ln(weight)
0  0
1  0
2  0
3  0
4  0
5  0
6  0
7  0
8  0
9  0
10  0
11  0
12  0
13  0
14  0
15  0
16  0
17  0
18  0
19  0
20  0
21  0
22  0
23  0.087485
24  0.395752
25  0.948782
26  1.79194
27  2.9213
28  4.27531
29  5.89581
30  7.6954
31  9.74676
32  12.0009
33  14.1423
34  16.264
35  18.5207
36  20.9756
37  23.6668
38  26.6949
39  30.208
40  34.2805
41  38.3225
42  42.3725
43  47.3725
44  52.3725
45  57.3725
46  62.3725
47  67.3725
48  72.3725
49  77.3725
50  82.3725
51  87.3725
52  92.3725
53  97.3725
54  102.373
55  107.373
56  112.373
57  117.373
58  122.373
59  127.373
