# version: 0.0.0-211-g3ba4c9d-dirty
# well_width: 1.3
# ff: 0.3
# N: 22
# walls: 0
# cell dimensions: (6.7473, 6.7473, 6.7473)
# seed: 20
# de_g: 0.05
# de_density: 0.1
# translation_scale: 0.1
# neighbor_scale: 2
# energy_levels: 132
# min_T: 0.2
# fractional_sample_error after initialization: 0.010278
# min_important_energy after initialization: 108

# histogram method: simple flat
# init_iter_limit: 48400000
# iterations: 48400000
# working moves: 84480534
# total moves: 182561434
# acceptance rate: 0.462751

# energy	ln(weight)
0  0
1  0
2  0
3  0
4  0
5  0
6  0
7  0
8  0
9  0
10  0
11  0
12  0
13  0
14  0
15  0
16  0
17  0
18  0
19  0
20  0
21  0
22  0
23  0
24  0
25  0
26  0
27  0
28  0
29  0
30  0
31  0
32  0
33  0
34  0
35  0
36  0
37  0
38  0
39  0
40  0
41  0
42  0
43  0
44  0
45  0
46  0
47  0
48  0
49  0
50  0
51  0
52  0
53  0
54  0.0968271
55  0.282898
56  0.559659
57  0.922068
58  1.36758
59  1.89587
60  2.50047
61  3.18616
62  3.94448
63  4.77781
64  5.68412
65  6.65954
66  7.69691
67  8.80163
68  9.96787
69  11.1964
70  12.4762
71  13.8148
72  15.2077
73  16.6478
74  18.1362
75  19.6771
76  21.2671
77  22.9055
78  24.5876
79  26.3209
80  28.0993
81  29.9213
82  31.7906
83  33.7065
84  35.666
85  37.6763
86  39.7317
87  41.8309
88  43.9714
89  46.1698
90  48.3998
91  50.6614
92  52.9451
93  55.2483
94  57.5646
95  59.9003
96  62.2719
97  64.7084
98  67.2234
99  69.8403
100  72.5819
101  75.4578
102  78.4849
103  81.6359
104  84.891
105  88.2994
106  91.9053
107  95.8102
108  100.16
109  105.16
110  110.16
111  115.16
112  120.16
113  125.16
114  130.16
115  135.16
116  140.16
117  145.16
118  150.16
119  155.16
120  160.16
121  165.16
122  170.16
123  175.16
124  180.16
125  185.16
126  190.16
127  195.16
128  200.16
129  205.16
130  210.16
131  215.16
