# version: 0.0.0-273-g79ef90c-dirty
# well_width: 1.3
# ff: 0.3
# N: 11
# walls: 0
# cell dimensions: (4.25448, 4.25448, 8.48528)
# seed: 21
# de_g: 0.05
# de_density: 0.1
# translation_scale: 0.1
# neighbor_scale: 2
# energy_levels: 60
# min_T: 0.2
# fractional_sample_error after initialization: 0.0107413
# min_important_energy after initialization: 42

# histogram method: oetmmc
# init_iter_limit: 12100000
# iterations: 12100000
# working moves: 69574874
# total moves: 133100000
# acceptance rate: 0.522726

# energy	ln(weight)
0  0
1  0
2  0
3  0
4  0
5  0
6  0
7  0
8  0
9  0
10  0
11  0
12  0
13  0
14  0
15  0
16  0
17  0
18  0
19  0
20  0
21  0
22  0
23  0.015452
24  0.290308
25  0.839366
26  1.66305
27  2.76013
28  4.11829
29  5.7022
30  7.48786
31  9.42279
32  11.4063
33  13.4392
34  15.6542
35  17.8712
36  20.5017
37  22.9728
38  24.8847
39  29.108
40  32.6716
41  36.3955
42  38.8318
43  43.8318
44  48.8318
45  53.8318
46  58.8318
47  63.8318
48  68.8318
49  73.8318
50  78.8318
51  83.8318
52  88.8318
53  93.8318
54  98.8318
55  103.832
56  108.832
57  113.832
58  118.832
59  123.832
