# version: 0.0.0-207-gf4e294c-dirty
# well_width: 1.3
# ff: 0.3
# N: 12
# walls: 0
# cell dimensions: (4.44366, 4.44366, 8.48528)
# seed: 21
# de_g: 0.05
# de_density: 0.1
# translation_scale: 0.1
# neighbor_scale: 2
# energy_levels: 72
# min_T: 0.2
# fractional_sample_error after initialization: 0.0237305
# min_important_energy after initialization: 48

# histogram method: simple flat
# init_iter_limit: 14400000
# iterations: 14400000
# working moves: 91793402
# total moves: 172800000
# acceptance rate: 0.531212

# min_important_energy: 48

# energy   counts
14  7
15  138
16  1050
17  5960
18  29169
19  112087
20  364943
21  976387
22  2144875
23  3862192
24  5695640
25  6844619
26  6669946
27  6645731
28  6619762
29  6614488
30  6570561
31  6581495
32  6567279
33  6543584
34  6541343
35  6488480
36  6398990
37  6395089
38  6390194
39  6516737
40  6465472
41  6472265
42  6464652
43  6468056
44  6409592
45  6079743
46  6524293
47  6895710
48  7291399
49  2148072
