# version: 0.0.0-296-gced568d-dirty
# well_width: 1.3
# ff: 0.3
# N: 15
# walls: 0
# cell dimensions: (5.93863, 5.93863, 5.93863)
# seed: 21
# de_g: 0.05
# de_density: 0.1
# translation_scale: 0.1
# neighbor_scale: 2
# energy_levels: 84
# min_T: 0.2
# fractional_sample_error after initialization: 0.00657316
# min_important_energy after initialization: 72

# histogram method: Vanilla Wang-Landau
# wl_factor: 1
# wl_fmod: 2
# wl_threshold: 0.0526316
# wl_cutoff: 1e-08
# init_iter_limit: 22500000
# iterations: 22500000
# working moves: 155117896
# total moves: 337500000
# acceptance rate: 0.459609

# min_important_energy: 72

# energy   counts
22  1
23  25
24  96
25  773
26  4312
27  19347
28  75032
29  238905
30  630616
31  1405959
32  2679785
33  4372142
34  6166809
35  7551121
36  8057409
37  8041374
38  7985318
39  7968094
40  8001487
41  8018680
42  8064969
43  8087582
44  8140625
45  8153227
46  8259126
47  8278776
48  8261096
49  8221613
50  8125673
51  8087294
52  8073361
53  8095487
54  8089060
55  8149609
56  8311446
57  8343398
58  8452143
59  8390148
60  8273912
61  8353031
62  8460044
63  8671599
64  8916767
65  8933151
66  8955985
67  8772050
68  8669042
69  8529530
70  8290930
71  8032731
72  7988289
73  5767086
74  2083935
