# version: 0.0.0-275-g22b78b0-dirty
# well_width: 1.3
# ff: 0.3
# N: 21
# walls: 0
# cell dimensions: (6.64348, 6.64348, 6.64348)
# seed: 21
# de_g: 0.05
# de_density: 0.1
# translation_scale: 0.1
# neighbor_scale: 2
# energy_levels: 120
# min_T: 0.2
# fractional_sample_error after initialization: 0.00384004
# min_important_energy after initialization: 102

# histogram method: oetmmc
# init_iter_limit: 44100000
# iterations: 44100000
# working moves: 486750706
# total moves: 926100000
# acceptance rate: 0.525592

# min_important_energy: 102

# energy   counts
33  1
34  25
35  104
36  555
37  2293
38  9360
39  35096
40  112443
41  322182
42  807233
43  1818597
44  3653974
45  6573189
46  10597327
47  15363592
48  20039566
49  23624844
50  25174732
51  24386734
52  23731897
53  23082933
54  22505192
55  22040258
56  21566222
57  21073286
58  20663109
59  20296350
60  19950199
61  19672219
62  19328927
63  19033178
64  18830648
65  18618645
66  18474854
67  18305433
68  18140709
69  18031539
70  17935701
71  17664779
72  17699337
73  17864302
74  17753343
75  17511562
76  17533961
77  16893716
78  17249598
79  16580958
80  16602827
81  16140330
82  16420219
83  16603762
84  15937180
85  13250766
86  16323977
87  13643346
88  11305460
89  15709597
90  14500243
91  13233771
92  14177909
93  14261666
94  4051597
95  4565597
96  8553278
97  10153432
98  9777991
99  7475095
100  1033801
101  757714
102  1065740
