# version: 0.0.0-207-gf4e294c-dirty
# well_width: 1.3
# ff: 0.3
# N: 16
# walls: 0
# cell dimensions: (6.06777, 6.06777, 6.06777)
# seed: 22
# de_g: 0.05
# de_density: 0.1
# translation_scale: 0.1
# neighbor_scale: 2
# energy_levels: 96
# min_T: 0.2
# fractional_sample_error after initialization: 1
# min_important_energy after initialization: 80

# transitions_input_filename: /home/perlinm/deft/papers/histogram/data/periodic-ww1.30-ff0.30-N16-tmmc-golden-transitions.dat
# iterations: 25600000
# working moves: 189033059
# total moves: 409600000
# acceptance rate: 0.461506

# min_important_energy: 80

# energy   counts
24  1
25  1
26  67
27  694
28  4181
29  19048
30  71696
31  225291
32  595961
33  1364211
34  2672897
35  4533475
36  6683362
37  8604787
38  9723644
39  9732130
40  9711528
41  9705275
42  9717018
43  9719370
44  9710149
45  9699348
46  9685140
47  9665651
48  9653060
49  9653790
50  9663947
51  9636354
52  9628577
53  9639939
54  9612129
55  9626750
56  9587451
57  9557772
58  9529015
59  9493503
60  9443481
61  9491978
62  9444802
63  9403256
64  9322974
65  9278883
66  9227097
67  9275419
68  9233365
69  9222050
70  9375384
71  9293200
72  9144574
73  8706501
74  8980064
75  8972861
76  9715449
77  8698725
78  4762378
79  1426208
80  54139
