# version: 0.0.0-211-g3ba4c9d-dirty
# well_width: 1.3
# ff: 0.3
# N: 23
# walls: 0
# cell dimensions: (6.84802, 6.84802, 6.84802)
# seed: 23
# de_g: 0.05
# de_density: 0.1
# translation_scale: 0.1
# neighbor_scale: 2
# energy_levels: 132
# min_T: 0.2
# fractional_sample_error after initialization: 0.00968793
# min_important_energy after initialization: 110

# histogram method: simple flat
# init_iter_limit: 52900000
# iterations: 52900000
# working moves: 573573999
# total moves: 1216700000
# acceptance rate: 0.471418

# min_important_energy: 114

# energy   counts
37  1
38  24
39  149
40  503
41  1906
42  7850
43  27337
44  81653
45  222672
46  536452
47  1176641
48  2330632
49  4200835
50  6848431
51  10122089
52  13637288
53  16734926
54  18745996
55  19154376
56  19129142
57  19099866
58  19100751
59  19102167
60  19022743
61  18920315
62  18888021
63  18914896
64  18923765
65  18880192
66  18858461
67  18834340
68  18829595
69  18826510
70  18939161
71  18955747
72  18929705
73  18932212
74  18897671
75  18820971
76  18782188
77  18738245
78  18723543
79  18728185
80  18759640
81  18774744
82  18756109
83  18836423
84  18893204
85  18832480
86  18744644
87  18805991
88  18700465
89  18655507
90  18705753
91  18646518
92  18540233
93  18535343
94  18336069
95  18328942
96  18241817
97  18081009
98  17904749
99  17748744
100  17533871
101  17424248
102  17431016
103  17388816
104  17428991
105  17384584
106  17055932
107  16651728
108  16321582
109  15953099
110  17149664
111  19771711
112  20228732
113  28663816
114  28968106
115  12006842
116  900725
