# version: 0.0.0-211-g3ba4c9d-dirty
# well_width: 1.3
# ff: 0.3
# N: 13
# walls: 0
# cell dimensions: (5.662, 5.662, 5.662)
# seed: 24
# de_g: 0.05
# de_density: 0.1
# translation_scale: 0.1
# neighbor_scale: 2
# energy_levels: 72
# min_T: 0.2
# fractional_sample_error after initialization: 0.00451819
# min_important_energy after initialization: 58

# histogram method: tmmc
# init_iter_limit: 16900000
# iterations: 16900000
# working moves: 115519061
# total moves: 219700000
# acceptance rate: 0.525804

# energy	ln(weight)
0  0
1  0
2  0
3  0
4  0
5  0
6  0
7  0
8  0
9  0
10  0
11  0
12  0
13  0
14  0
15  0
16  0
17  0
18  0
19  0
20  0
21  0
22  0
23  0
24  0
25  0
26  0
27  0
28  0
29  0
30  0
31  0
32  0.0968422
33  0.333463
34  0.710746
35  1.22561
36  1.8697
37  2.63805
38  3.52642
39  4.52743
40  5.63918
41  6.85763
42  8.17728
43  9.59113
44  11.0991
45  12.6985
46  14.3917
47  16.1787
48  18.0497
49  20.0212
50  22.0734
51  24.2007
52  26.3892
53  28.658
54  30.9442
55  33.3927
56  36.0496
57  39.0065
58  42.1925
59  47.1925
60  52.1925
61  57.1925
62  62.1925
63  67.1925
64  72.1925
65  77.1925
66  82.1925
67  87.1925
68  92.1925
69  97.1925
70  102.192
71  107.192
