# version: 0.0.0-211-g3ba4c9d-dirty
# well_width: 1.3
# ff: 0.3
# N: 20
# walls: 0
# cell dimensions: (6.53631, 6.53631, 6.53631)
# seed: 24
# de_g: 0.05
# de_density: 0.1
# translation_scale: 0.1
# neighbor_scale: 2
# energy_levels: 120
# min_T: 0.2
# fractional_sample_error after initialization: 0.0165303
# min_important_energy after initialization: 95

# histogram method: simple flat
# init_iter_limit: 40000000
# iterations: 40000000
# working moves: 394431895
# total moves: 800000000
# acceptance rate: 0.49304

# energy	samples
48  0
49  2425780
50  1314446
51  854695
52  596216
53  432134
54  321080
55  243897
56  188469
57  148159
58  117816
59  94852
60  77071
61  63063
62  52179
63  43694
64  36724
65  31002
66  26320
67  22442
68  19325
69  16714
70  14472
71  12620
72  11018
73  9689
74  8481
75  7439
76  6543
77  5764
78  5118
79  4539
80  4001
81  3525
82  3048
83  2667
84  2278
85  1903
86  1569
87  1278
88  1006
89  757
90  561
91  385
92  243
93  150
94  104
95  99
96  75
97  2
