# version: 0.0.0-296-gced568d-dirty
# well_width: 1.3
# ff: 0.3
# N: 12
# walls: 0
# cell dimensions: (4.44366, 4.44366, 8.48528)
# seed: 25
# de_g: 0.05
# de_density: 0.1
# translation_scale: 0.1
# neighbor_scale: 2
# energy_levels: 72
# min_T: 0.2
# fractional_sample_error after initialization: 0.0136292
# min_important_energy after initialization: 51

# histogram method: Wang-Landau
# wl_factor: 1
# wl_fmod: 2
# wl_threshold: 0.0526316
# wl_cutoff: 1e-08
# init_iter_limit: 14400000
# iterations: 14400000
# working moves: 66432479
# total moves: 172800000
# acceptance rate: 0.384447

# energy	ln(weight)
0  0
1  0
2  0
3  0
4  0
5  0
6  0
7  0
8  0
9  0
10  0
11  0
12  0
13  0
14  0
15  0
16  0
17  0
18  0
19  0
20  0
21  0
22  0
23  0
24  0
25  0
26  0
27  0.207397
28  0.624146
29  1.29333
30  2.181
31  3.25372
32  4.57306
33  6.05344
34  7.71686
35  9.53397
36  11.4489
37  13.4595
38  15.52
39  17.7294
40  19.9984
41  22.4591
42  25.0812
43  27.838
44  30.7263
45  33.4416
46  38.8837
47  45.3004
48  50.0778
49  56.8654
50  75382.9
51  75589
52  75594
53  75599
54  75604
55  75609
56  75614
57  75619
58  75624
59  75629
60  75634
61  75639
62  75644
63  75649
64  75654
65  75659
66  75664
67  75669
68  75674
69  75679
70  75684
71  75689
