# version: 0.0.0-222-g56de6ba-dirty
# well_width: 1.3
# ff: 0.3
# N: 26
# walls: 0
# cell dimensions: (7.13368, 7.13368, 7.13368)
# seed: 25
# de_g: 0.05
# de_density: 0.1
# translation_scale: 0.1
# neighbor_scale: 2
# energy_levels: 156
# min_T: 0.2
# fractional_sample_error after initialization: 1
# min_important_energy after initialization: 133

# transitions_input_filename: /home/perlinm/deft/papers/histogram/data/periodic-ww1.30-ff0.30-N26-tmmc-golden-transitions.dat
# iterations: 67600000
# working moves: 823830375
# total moves: 1757600000
# acceptance rate: 0.468725

# energy	samples
62  0
63  3673511
64  2008996
65  1330721
66  951659
67  705890
68  536618
69  415681
70  327309
71  261309
72  211520
73  173240
74  143063
75  119419
76  100447
77  85325
78  72817
79  62583
80  54028
81  46850
82  40810
83  35792
84  31431
85  27676
86  24544
87  21855
88  19527
89  17484
90  15719
91  14158
92  12737
93  11521
94  10446
95  9479
96  8617
97  7839
98  7204
99  6602
100  6030
101  5539
102  5112
103  4711
104  4326
105  3959
106  3625
107  3337
108  3058
109  2838
110  2602
111  2390
112  2190
113  1975
114  1780
115  1616
116  1445
117  1307
118  1186
119  1050
120  951
121  836
122  741
123  644
124  551
125  450
126  371
127  296
128  228
129  137
130  72
131  44
132  35
