# version: 0.0.0-222-g56de6ba-dirty
# well_width: 1.3
# ff: 0.3
# N: 23
# walls: 0
# cell dimensions: (6.84802, 6.84802, 6.84802)
# seed: 26
# de_g: 0.05
# de_density: 0.1
# translation_scale: 0.1
# neighbor_scale: 2
# energy_levels: 132
# min_T: 0.2
# fractional_sample_error after initialization: 0.0024761
# min_important_energy after initialization: 110

# histogram method: Wang-Landau
# wl_factor: 0.125
# wl_fmod: 2
# wl_threshold: 3
# wl_cutoff: 1e-06
# init_iter_limit: 52900000
# iterations: 52900000
# working moves: 608349092
# total moves: 1216700000
# acceptance rate: 0.499999

# energy	ln(weight)
0  0
1  0
2  0
3  0
4  0
5  0
6  0
7  0
8  0
9  0
10  0
11  0
12  0
13  0
14  0
15  0
16  0
17  0
18  0
19  0
20  0
21  0
22  0
23  0
24  0
25  0
26  0
27  0
28  0
29  0
30  0
31  0
32  0
33  0
34  0
35  0
36  0
37  0
38  0
39  0
40  0
41  0
42  0
43  0
44  0
45  0
46  0
47  0
48  0
49  0
50  0
51  0
52  0
53  0
54  0
55  0
56  0.0608538
57  0.212814
58  0.447575
59  0.75987
60  1.15598
61  1.63111
62  2.17968
63  2.81197
64  3.5082
65  4.27748
66  5.11131
67  6.00933
68  6.97789
69  8.0084
70  9.09856
71  10.2547
72  11.4687
73  12.7355
74  14.0645
75  15.4254
76  16.8476
77  18.3026
78  19.8062
79  21.3702
80  22.9709
81  24.6087
82  26.3006
83  28.0115
84  29.763
85  31.5499
86  33.3816
87  35.2407
88  37.1333
89  39.0767
90  41.0657
91  43.0893
92  45.1657
93  47.2547
94  49.409
95  51.5609
96  53.7362
97  55.932
98  58.1661
99  60.4166
100  62.695
101  65.0006
102  67.39
103  69.8983
104  72.4845
105  75.2242
106  78.1732
107  81.3824
108  84.9389
109  88.9755
110  93.5937
111  98.5937
112  103.594
113  108.594
114  113.594
115  118.594
116  123.594
117  128.594
118  133.594
119  138.594
120  143.594
121  148.594
122  153.594
123  158.594
124  163.594
125  168.594
126  173.594
127  178.594
128  183.594
129  188.594
130  193.594
131  198.594
