# version: 0.0.0-222-g56de6ba-dirty
# well_width: 1.3
# ff: 0.3
# N: 12
# walls: 0
# cell dimensions: (4.44366, 4.44366, 8.48528)
# seed: 27
# de_g: 0.05
# de_density: 0.1
# translation_scale: 0.1
# neighbor_scale: 2
# energy_levels: 72
# min_T: 0.2
# fractional_sample_error after initialization: 0.0161971
# min_important_energy after initialization: 48

# histogram method: tmmc
# init_iter_limit: 14400000
# iterations: 14400000
# working moves: 94799467
# total moves: 172800000
# acceptance rate: 0.548608

# energy	ln(weight)
0  0
1  0
2  0
3  0
4  0
5  0
6  0
7  0
8  0
9  0
10  0
11  0
12  0
13  0
14  0
15  0
16  0
17  0
18  0
19  0
20  0
21  0
22  0
23  0
24  0
25  0
26  0.0259234
27  0.262893
28  0.714258
29  1.38738
30  2.27976
31  3.38334
32  4.6977
33  6.20206
34  7.86365
35  9.659
36  11.5689
37  13.5596
38  15.6323
39  17.7807
40  20.0045
41  22.3129
42  24.7452
43  27.3503
44  30.1179
45  33.097
46  37.7604
47  38.8718
48  43.801
49  48.801
50  53.801
51  58.801
52  63.801
53  68.801
54  73.801
55  78.801
56  83.801
57  88.801
58  93.801
59  98.801
60  103.801
61  108.801
62  113.801
63  118.801
64  123.801
65  128.801
66  133.801
67  138.801
68  143.801
69  148.801
70  153.801
71  158.801
