# version: 0.0.0-222-g56de6ba-dirty
# well_width: 1.3
# ff: 0.3
# N: 27
# walls: 0
# cell dimensions: (7.22399, 7.22399, 7.22399)
# seed: 27
# de_g: 0.05
# de_density: 0.1
# translation_scale: 0.1
# neighbor_scale: 2
# energy_levels: 156
# min_T: 0.2
# fractional_sample_error after initialization: 0.00659616
# min_important_energy after initialization: 133

# histogram method: oetmmc
# init_iter_limit: 72900000
# iterations: 72900000
# working moves: 1022165911
# total moves: 1968300000
# acceptance rate: 0.519314

# energy	samples
64  0
65  5504512
66  3022305
67  1998241
68  1431112
69  1064848
70  810591
71  629851
72  496543
73  397218
74  322235
75  264085
76  218525
77  182226
78  153437
79  129846
80  110370
81  94689
82  81756
83  70969
84  61972
85  54269
86  47684
87  42035
88  37218
89  33066
90  29428
91  26247
92  23363
93  21016
94  18900
95  17100
96  15484
97  13990
98  12738
99  11594
100  10564
101  9641
102  8822
103  8055
104  7359
105  6788
106  6226
107  5720
108  5305
109  4911
110  4534
111  4203
112  3898
113  3616
114  3257
115  2935
116  2682
117  2323
118  2165
119  1962
120  1774
121  1499
122  1320
123  1068
124  829
125  758
126  551
127  348
128  230
129  166
130  96
131  68
132  38
133  16
134  1
