# version: 0.0.0-222-g56de6ba-dirty
# well_width: 1.3
# ff: 0.3
# N: 26
# walls: 0
# cell dimensions: (7.13368, 7.13368, 7.13368)
# seed: 29
# de_g: 0.05
# de_density: 0.1
# translation_scale: 0.1
# neighbor_scale: 2
# energy_levels: 156
# min_T: 0.2
# fractional_sample_error after initialization: 0.00609695
# min_important_energy after initialization: 130

# histogram method: tmmc
# init_iter_limit: 67600000
# iterations: 67600000
# working moves: 901714952
# total moves: 1757600000
# acceptance rate: 0.513038

# energy	samples
61  0
62  4594837
63  2577369
64  1719556
65  1234814
66  918350
67  698855
68  541393
69  426815
70  341178
71  276528
72  227298
73  187985
74  156816
75  132040
76  112166
77  95634
78  82339
79  71049
80  61798
81  53937
82  47279
83  41648
84  36814
85  32686
86  29039
87  25933
88  23179
89  20792
90  18683
91  16870
92  15243
93  13801
94  12546
95  11451
96  10497
97  9539
98  8737
99  7988
100  7320
101  6709
102  6194
103  5738
104  5295
105  4861
106  4506
107  4159
108  3814
109  3504
110  3201
111  2909
112  2675
113  2419
114  2171
115  1936
116  1715
117  1423
118  1239
119  1062
120  872
121  728
122  580
123  449
124  315
125  91
126  51
127  28
128  19
129  4
130  1
