# unused	g3	z	x
0	2.82029	-7	0
0	2.82083	-6.99	0
0	2.82138	-6.98	0
0	2.82193	-6.97	0
0	2.82249	-6.96	0
0	2.82305	-6.95	0
0	2.82361	-6.94	0
0	2.82416	-6.93	0
0	2.82472	-6.92	0
0	2.82528	-6.91	0
0	2.82582	-6.9	0
0	2.82637	-6.89	0
0	2.82692	-6.88	0
0	2.82746	-6.87	0
0	2.82801	-6.86	0
0	2.82855	-6.85	0
0	2.82909	-6.84	0
0	2.8296	-6.83	0
0	2.8301	-6.82	0
0	2.83061	-6.81	0
0	2.83112	-6.8	0
0	2.83163	-6.79	0
0	2.83214	-6.78	0
0	2.8326	-6.77	0
0	2.83304	-6.76	0
0	2.83349	-6.75	0
0	2.83393	-6.74	0
0	2.83437	-6.73	0
0	2.83482	-6.72	0
0	2.83525	-6.71	0
0	2.8356	-6.7	0
0	2.83595	-6.69	0
0	2.83629	-6.68	0
0	2.83664	-6.67	0
0	2.83699	-6.66	0
0	2.83734	-6.65	0
0	2.83763	-6.64	0
0	2.83785	-6.63	0
0	2.83808	-6.62	0
0	2.8383	-6.61	0
0	2.83853	-6.6	0
0	2.83875	-6.59	0
0	2.83897	-6.58	0
0	2.83907	-6.57	0
0	2.83915	-6.56	0
0	2.83922	-6.55	0
0	2.83929	-6.54	0
0	2.83936	-6.53	0
0	2.83943	-6.52	0
0	2.83947	-6.51	0
0	2.83937	-6.5	0
0	2.83926	-6.49	0
0	2.83916	-6.48	0
0	2.83905	-6.47	0
0	2.83894	-6.46	0
0	2.83884	-6.45	0
0	2.83863	-6.44	0
0	2.83832	-6.43	0
0	2.83802	-6.42	0
0	2.83771	-6.41	0
0	2.83741	-6.4	0
0	2.83711	-6.39	0
0	2.8368	-6.38	0
0	2.83631	-6.37	0
0	2.83579	-6.36	0
0	2.83527	-6.35	0
0	2.83475	-6.34	0
0	2.83424	-6.33	0
0	2.83372	-6.32	0
0	2.83315	-6.31	0
0	2.83241	-6.3	0
0	2.83167	-6.29	0
0	2.83093	-6.28	0
0	2.83019	-6.27	0
0	2.82945	-6.26	0
0	2.82871	-6.25	0
0	2.82784	-6.24	0
0	2.82687	-6.23	0
0	2.82591	-6.22	0
0	2.82495	-6.21	0
0	2.82399	-6.2	0
0	2.82303	-6.19	0
0	2.82206	-6.18	0
0	2.8209	-6.17	0
0	2.81973	-6.16	0
0	2.81855	-6.15	0
0	2.81738	-6.14	0
0	2.81621	-6.13	0
0	2.81503	-6.12	0
0	2.8138	-6.11	0
0	2.81243	-6.1	0
0	2.81107	-6.09	0
0	2.8097	-6.08	0
0	2.80833	-6.07	0
0	2.80697	-6.06	0
0	2.8056	-6.05	0
0	2.80413	-6.04	0
0	2.8026	-6.03	0
0	2.80107	-6.02	0
0	2.79954	-6.01	0
0	2.79801	-6	0
0	2.79648	-5.99	0
0	2.79495	-5.98	0
0	2.79329	-5.97	0
0	2.79164	-5.96	0
0	2.78998	-5.95	0
0	2.78833	-5.94	0
0	2.78667	-5.93	0
0	2.78502	-5.92	0
0	2.78334	-5.91	0
0	2.78161	-5.9	0
0	2.77987	-5.89	0
0	2.77814	-5.88	0
0	2.77641	-5.87	0
0	2.77468	-5.86	0
0	2.77295	-5.85	0
0	2.7712	-5.84	0
0	2.76945	-5.83	0
0	2.7677	-5.82	0
0	2.76594	-5.81	0
0	2.76419	-5.8	0
0	2.76244	-5.79	0
0	2.76069	-5.78	0
0	2.75898	-5.77	0
0	2.75727	-5.76	0
0	2.75556	-5.75	0
0	2.75385	-5.74	0
0	2.75214	-5.73	0
0	2.75043	-5.72	0
0	2.74876	-5.71	0
0	2.74716	-5.7	0
0	2.74555	-5.69	0
0	2.74395	-5.68	0
0	2.74235	-5.67	0
0	2.74074	-5.66	0
0	2.73914	-5.65	0
0	2.73768	-5.64	0
0	2.73625	-5.63	0
0	2.73483	-5.62	0
0	2.7334	-5.61	0
0	2.73198	-5.6	0
0	2.73055	-5.59	0
0	2.72917	-5.58	0
0	2.72799	-5.57	0
0	2.72681	-5.56	0
0	2.72563	-5.55	0
0	2.72446	-5.54	0
0	2.72328	-5.53	0
0	2.72211	-5.52	0
0	2.72109	-5.51	0
0	2.72023	-5.5	0
0	2.71938	-5.49	0
0	2.71852	-5.48	0
0	2.71767	-5.47	0
0	2.71681	-5.46	0
0	2.71596	-5.45	0
0	2.71543	-5.44	0
0	2.71496	-5.43	0
0	2.71449	-5.42	0
0	2.71403	-5.41	0
0	2.71356	-5.4	0
0	2.7131	-5.39	0
0	2.71272	-5.38	0
0	2.7127	-5.37	0
0	2.71269	-5.36	0
0	2.71267	-5.35	0
0	2.71266	-5.34	0
0	2.71264	-5.33	0
0	2.71263	-5.32	0
0	2.7129	-5.31	0
0	2.71339	-5.3	0
0	2.71388	-5.29	0
0	2.71438	-5.28	0
0	2.71487	-5.27	0
0	2.71537	-5.26	0
0	2.71587	-5.25	0
0	2.71687	-5.24	0
0	2.71792	-5.23	0
0	2.71898	-5.22	0
0	2.72003	-5.21	0
0	2.72108	-5.2	0
0	2.72214	-5.19	0
0	2.72336	-5.18	0
0	2.725	-5.17	0
0	2.72665	-5.16	0
0	2.7283	-5.15	0
0	2.72995	-5.14	0
0	2.7316	-5.13	0
0	2.73326	-5.12	0
0	2.73529	-5.11	0
0	2.73756	-5.1	0
0	2.73982	-5.09	0
0	2.74209	-5.08	0
0	2.74436	-5.07	0
0	2.74663	-5.06	0
0	2.74891	-5.05	0
