# unused	g3	z	x
0	1.01823	-10	0
0	1.0184	-9.99	0
0	1.01825	-9.98	0
0	1.01823	-9.97	0
0	1.0189	-9.96	0
0	1.01905	-9.95	0
0	1.01853	-9.94	0
0	1.01888	-9.93	0
0	1.01881	-9.92	0
0	1.01847	-9.91	0
0	1.01839	-9.9	0
0	1.01772	-9.89	0
0	1.01784	-9.88	0
0	1.01838	-9.87	0
0	1.01892	-9.86	0
0	1.01946	-9.85	0
0	1.01878	-9.84	0
0	1.01753	-9.83	0
0	1.01806	-9.82	0
0	1.01877	-9.81	0
0	1.0188	-9.8	0
0	1.01823	-9.79	0
0	1.01731	-9.78	0
0	1.01771	-9.77	0
0	1.01807	-9.76	0
0	1.01872	-9.75	0
0	1.01937	-9.74	0
0	1.01915	-9.73	0
0	1.01881	-9.72	0
0	1.01765	-9.71	0
0	1.01779	-9.7	0
0	1.01933	-9.69	0
0	1.01885	-9.68	0
0	1.01766	-9.67	0
0	1.01807	-9.66	0
0	1.01881	-9.65	0
0	1.01804	-9.64	0
0	1.01805	-9.63	0
0	1.01929	-9.62	0
0	1.01898	-9.61	0
0	1.01841	-9.6	0
0	1.01805	-9.59	0
0	1.0183	-9.58	0
0	1.01884	-9.57	0
0	1.01871	-9.56	0
0	1.01816	-9.55	0
0	1.01737	-9.54	0
0	1.01798	-9.53	0
0	1.01988	-9.52	0
0	1.01957	-9.51	0
0	1.01843	-9.5	0
0	1.01854	-9.49	0
0	1.01858	-9.48	0
0	1.01837	-9.47	0
0	1.01782	-9.46	0
0	1.01845	-9.45	0
0	1.0195	-9.44	0
0	1.0186	-9.43	0
0	1.01835	-9.42	0
0	1.02002	-9.41	0
0	1.0201	-9.4	0
0	1.01821	-9.39	0
0	1.01788	-9.38	0
0	1.01864	-9.37	0
0	1.01829	-9.36	0
0	1.01833	-9.35	0
0	1.01895	-9.34	0
0	1.01999	-9.33	0
0	1.02085	-9.32	0
0	1.02082	-9.31	0
0	1.02026	-9.3	0
0	1.01966	-9.29	0
0	1.01898	-9.28	0
0	1.01881	-9.27	0
0	1.01944	-9.26	0
0	1.0192	-9.25	0
0	1.01877	-9.24	0
0	1.01979	-9.23	0
0	1.01987	-9.22	0
0	1.01966	-9.21	0
0	1.02015	-9.2	0
0	1.01914	-9.19	0
0	1.01941	-9.18	0
0	1.01979	-9.17	0
0	1.01955	-9.16	0
0	1.01983	-9.15	0
0	1.01935	-9.14	0
0	1.01897	-9.13	0
0	1.01856	-9.12	0
0	1.01819	-9.11	0
0	1.01821	-9.1	0
0	1.01872	-9.09	0
0	1.01806	-9.08	0
