# unused	g3	z	x
0	0.000100324	10	0
0	0.000100054	9.99	0
0	9.99705e-05	9.98	0
0	9.99746e-05	9.97	0
0	9.99061e-05	9.96	0
0	9.9913e-05	9.95	0
0	9.97564e-05	9.94	0
0	9.96822e-05	9.93	0
0	9.96241e-05	9.92	0
0	9.95242e-05	9.91	0
0	9.95189e-05	9.9	0
0	9.93489e-05	9.89	0
0	9.92156e-05	9.88	0
0	9.93368e-05	9.87	0
0	9.92623e-05	9.86	0
0	9.90593e-05	9.85	0
0	9.8769e-05	9.84	0
0	9.89529e-05	9.83	0
0	9.90891e-05	9.82	0
0	9.88063e-05	9.81	0
0	9.88536e-05	9.8	0
0	9.88894e-05	9.79	0
0	9.87971e-05	9.78	0
0	9.85355e-05	9.77	0
0	9.85538e-05	9.76	0
0	9.86956e-05	9.75	0
0	9.86326e-05	9.74	0
0	9.86465e-05	9.73	0
0	9.86843e-05	9.72	0
0	9.87512e-05	9.71	0
0	9.87141e-05	9.7	0
0	9.85628e-05	9.69	0
0	9.86109e-05	9.68	0
0	9.86406e-05	9.67	0
0	9.85842e-05	9.66	0
0	9.85454e-05	9.65	0
0	9.85134e-05	9.64	0
0	9.87345e-05	9.63	0
0	9.87504e-05	9.62	0
0	9.85733e-05	9.61	0
0	9.84705e-05	9.6	0
0	9.83953e-05	9.59	0
0	9.85485e-05	9.58	0
0	9.86143e-05	9.57	0
0	9.84603e-05	9.56	0
0	9.84032e-05	9.55	0
0	9.85949e-05	9.54	0
0	9.88049e-05	9.53	0
0	9.86995e-05	9.52	0
0	9.8605e-05	9.51	0
0	9.88617e-05	9.5	0
0	9.87268e-05	9.49	0
0	9.85851e-05	9.48	0
0	9.8823e-05	9.47	0
0	9.8899e-05	9.46	0
0	9.90361e-05	9.45	0
0	9.88665e-05	9.44	0
0	9.90056e-05	9.43	0
0	9.91251e-05	9.42	0
0	9.87894e-05	9.41	0
0	9.90889e-05	9.4	0
0	9.92199e-05	9.39	0
0	9.92634e-05	9.38	0
0	9.969e-05	9.37	0
0	9.97552e-05	9.36	0
0	9.96617e-05	9.35	0
0	9.9582e-05	9.34	0
0	9.94948e-05	9.33	0
0	9.96619e-05	9.32	0
0	9.99026e-05	9.31	0
0	9.99226e-05	9.3	0
0	0.000100059	9.29	0
0	0.000100256	9.28	0
0	0.000100205	9.27	0
0	0.000100059	9.26	0
0	0.000100115	9.25	0
0	0.000100164	9.24	0
0	0.000100356	9.23	0
0	0.000100603	9.22	0
0	0.000100856	9.21	0
0	0.000100952	9.2	0
0	0.000100812	9.19	0
0	0.000100802	9.18	0
0	0.000101099	9.17	0
0	0.000101508	9.16	0
0	0.000101466	9.15	0
0	0.000101272	9.14	0
0	0.000101313	9.13	0
0	0.000101638	9.12	0
0	0.000101769	9.11	0
0	0.000101867	9.1	0
0	0.000102036	9.09	0
0	0.000101953	9.08	0
0	0.00010186	9.07	0
0	0.000101966	9.06	0
0	0.000102299	9.05	0
0	0.000102388	9.04	0
0	0.000102273	9.03	0
0	0.000102347	9.02	0
0	0.000102514	9.01	0
0	0.000102479	9	0
0	0.000102651	8.99	0
0	0.000103042	8.98	0
0	0.000103274	8.97	0
0	0.000103174	8.96	0
0	0.000103269	8.95	0
0	0.000103602	8.94	0
0	0.000103563	8.93	0
0	0.000103708	8.92	0
0	0.000103964	8.91	0
0	0.000104191	8.9	0
0	0.000104124	8.89	0
0	0.000104184	8.88	0
0	0.000104278	8.87	0
0	0.000104369	8.86	0
0	0.000104549	8.85	0
0	0.00010456	8.84	0
0	0.000104915	8.83	0
0	0.000105092	8.82	0
0	0.000105011	8.81	0
0	0.000105013	8.8	0
0	0.000104995	8.79	0
0	0.000105128	8.78	0
0	0.000105293	8.77	0
0	0.000105332	8.76	0
0	0.00010555	8.75	0
0	0.000105751	8.74	0
0	0.000105721	8.73	0
0	0.000105671	8.72	0
0	0.000105872	8.71	0
0	0.000105889	8.7	0
0	0.000105848	8.69	0
0	0.000105998	8.68	0
0	0.000106135	8.67	0
0	0.000106057	8.66	0
0	0.000106165	8.65	0
0	0.000106383	8.64	0
0	0.000106555	8.63	0
0	0.000106637	8.62	0
0	0.000106465	8.61	0
0	0.000106593	8.6	0
0	0.00010666	8.59	0
0	0.000106818	8.58	0
0	0.000106847	8.57	0
0	0.000106882	8.56	0
0	0.000106927	8.55	0
0	0.000106793	8.54	0
0	0.000106806	8.53	0
0	0.000106827	8.52	0
0	0.000106776	8.51	0
0	0.000106758	8.5	0
0	0.000106946	8.49	0
0	0.000106944	8.48	0
0	0.000106729	8.47	0
0	0.000106722	8.46	0
0	0.000106652	8.45	0
0	0.000106423	8.44	0
0	0.000106442	8.43	0
0	0.000106596	8.42	0
0	0.000106468	8.41	0
0	0.000106258	8.4	0
0	0.000106248	8.39	0
0	0.000106099	8.38	0
0	0.000105673	8.37	0
0	0.000105639	8.36	0
0	0.000105917	8.35	0
0	0.00010581	8.34	0
0	0.000105629	8.33	0
0	0.000105262	8.32	0
0	0.00010497	8.31	0
0	0.000105097	8.3	0
0	0.000104879	8.29	0
0	0.000104448	8.28	0
