# unused	g3	z	x
0	2.70901	7	0
0	2.70871	6.99	0
0	2.7205	6.98	0
0	2.72123	6.97	0
0	2.7217	6.96	0
0	2.72761	6.95	0
0	2.73372	6.94	0
0	2.73585	6.93	0
0	2.73625	6.92	0
0	2.74764	6.91	0
0	2.75592	6.9	0
0	2.76405	6.89	0
0	2.77461	6.88	0
0	2.78548	6.87	0
0	2.78683	6.86	0
0	2.79279	6.85	0
0	2.80877	6.84	0
0	2.81522	6.83	0
0	2.82243	6.82	0
0	2.83396	6.81	0
0	2.84352	6.8	0
0	2.85156	6.79	0
0	2.85757	6.78	0
0	2.86917	6.77	0
0	2.88238	6.76	0
0	2.8853	6.75	0
0	2.88645	6.74	0
0	2.89743	6.73	0
0	2.913	6.72	0
0	2.92414	6.71	0
0	2.9353	6.7	0
0	2.94819	6.69	0
0	2.95489	6.68	0
0	2.95644	6.67	0
0	2.96969	6.66	0
0	2.97853	6.65	0
0	2.98613	6.64	0
0	3.00461	6.63	0
0	3.01511	6.62	0
0	3.02387	6.61	0
0	3.03115	6.6	0
0	3.03964	6.59	0
0	3.04886	6.58	0
0	3.05825	6.57	0
0	3.07555	6.56	0
0	3.08617	6.55	0
0	3.09236	6.54	0
0	3.10673	6.53	0
0	3.11988	6.52	0
0	3.13365	6.51	0
0	3.14222	6.5	0
0	3.14038	6.49	0
0	3.14692	6.48	0
0	3.16763	6.47	0
0	3.17729	6.46	0
0	3.18184	6.45	0
0	3.20336	6.44	0
0	3.21179	6.43	0
0	3.21436	6.42	0
0	3.22861	6.41	0
0	3.2364	6.4	0
0	3.24881	6.39	0
0	3.26078	6.38	0
0	3.26308	6.37	0
0	3.26229	6.36	0
0	3.26808	6.35	0
0	3.27563	6.34	0
0	3.28614	6.33	0
0	3.29983	6.32	0
0	3.29643	6.31	0
0	3.29905	6.3	0
0	3.3082	6.29	0
0	3.30463	6.28	0
0	3.29883	6.27	0
0	3.3078	6.26	0
0	3.31889	6.25	0
0	3.31791	6.24	0
0	3.31685	6.23	0
0	3.312	6.22	0
0	3.30684	6.21	0
0	3.30278	6.2	0
0	3.29794	6.19	0
0	3.2983	6.18	0
0	3.28888	6.17	0
0	3.28256	6.16	0
0	3.27153	6.15	0
0	3.24733	6.14	0
0	3.23475	6.13	0
0	3.22576	6.12	0
0	3.21312	6.11	0
0	3.18683	6.1	0
0	3.15928	6.09	0
0	3.15241	6.08	0
0	3.14138	6.07	0
0	3.12325	6.06	0
0	3.10068	6.05	0
0	3.07244	6.04	0
0	3.05465	6.03	0
0	3.03869	6.02	0
0	3.01876	6.01	0
0	2.99256	6	0
0	2.97282	5.99	0
0	2.9573	5.98	0
0	2.93961	5.97	0
0	2.91945	5.96	0
0	2.90254	5.95	0
0	2.88803	5.94	0
0	2.86762	5.93	0
0	2.84057	5.92	0
0	2.82279	5.91	0
0	2.80748	5.9	0
0	2.78322	5.89	0
0	2.76061	5.88	0
0	2.74045	5.87	0
0	2.72226	5.86	0
0	2.70202	5.85	0
0	2.68135	5.84	0
0	2.6647	5.83	0
0	2.65225	5.82	0
0	2.64409	5.81	0
0	2.61941	5.8	0
0	2.58016	5.79	0
0	2.56602	5.78	0
0	2.56075	5.77	0
0	2.53753	5.76	0
0	2.52104	5.75	0
0	2.51307	5.74	0
0	2.49841	5.73	0
0	2.48008	5.72	0
0	2.45963	5.71	0
0	2.4416	5.7	0
0	2.42221	5.69	0
0	2.40686	5.68	0
0	2.39064	5.67	0
0	2.36914	5.66	0
0	2.35031	5.65	0
0	2.34005	5.64	0
0	2.32996	5.63	0
0	2.32237	5.62	0
0	2.30175	5.61	0
0	2.27939	5.6	0
0	2.27272	5.59	0
0	2.25657	5.58	0
0	2.2449	5.57	0
0	2.23551	5.56	0
0	2.22494	5.55	0
0	2.22011	5.54	0
0	2.20679	5.53	0
0	2.18907	5.52	0
0	2.18632	5.51	0
0	2.17724	5.5	0
0	2.16178	5.49	0
0	2.15114	5.48	0
0	2.14243	5.47	0
0	2.13701	5.46	0
0	2.13103	5.45	0
0	2.11763	5.44	0
0	2.10612	5.43	0
0	2.10657	5.42	0
0	2.10362	5.41	0
0	2.10785	5.4	0
0	2.1003	5.39	0
0	2.0883	5.38	0
0	2.08871	5.37	0
0	2.09142	5.36	0
0	2.08773	5.35	0
0	2.07683	5.34	0
0	2.07088	5.33	0
0	2.06837	5.32	0
0	2.06599	5.31	0
0	2.07702	5.3	0
0	2.09171	5.29	0
0	2.07881	5.28	0
0	2.06498	5.27	0
0	2.07025	5.26	0
0	2.06796	5.25	0
0	2.07439	5.24	0
0	2.09633	5.23	0
0	2.09398	5.22	0
0	2.09546	5.21	0
0	2.09878	5.2	0
0	2.10342	5.19	0
0	2.11577	5.18	0
0	2.12277	5.17	0
0	2.13347	5.16	0
0	2.14284	5.15	0
0	2.14909	5.14	0
0	2.1537	5.13	0
0	2.16526	5.12	0
0	2.16935	5.11	0
0	2.17353	5.1	0
0	2.18138	5.09	0
0	2.19142	5.08	0
0	2.20694	5.07	0
0	2.22291	5.06	0
0	2.23678	5.05	0
0	2.2497	5.04	0
0	2.27189	5.03	0
