# s	g2	z	x
0	0.997027	3.005	10
0.1	0.996954	3.005	9.9
0.2	0.997158	3.005	9.8
0.3	0.997151	3.005	9.7
0.4	0.996616	3.005	9.6
0.5	0.99707	3.005	9.5
0.6	0.99703	3.005	9.4
0.7	0.997033	3.005	9.3
0.8	0.997113	3.005	9.2
0.9	0.996903	3.005	9.1
1	0.997088	3.005	9
1.1	0.997533	3.005	8.9
1.2	0.997007	3.005	8.8
1.3	0.99692	3.005	8.7
1.4	0.99712	3.005	8.6
1.5	0.997015	3.005	8.5
1.6	0.997054	3.005	8.4
1.7	0.997193	3.005	8.3
1.8	0.996786	3.005	8.2
1.9	0.997136	3.005	8.1
2	0.996807	3.005	8
2.1	0.997277	3.005	7.9
2.2	0.996696	3.005	7.8
2.3	0.997115	3.005	7.7
2.4	0.997078	3.005	7.6
2.5	0.996963	3.005	7.5
2.6	0.99689	3.005	7.4
2.7	0.996956	3.005	7.3
2.8	0.996779	3.005	7.2
2.9	0.997196	3.005	7.1
3	0.997111	3.005	7
3.1	0.997127	3.005	6.9
3.2	0.996319	3.005	6.8
3.3	0.99723	3.005	6.7
3.4	0.99741	3.005	6.6
3.5	0.997197	3.005	6.5
3.6	0.996632	3.005	6.4
3.7	0.996663	3.005	6.3
3.8	0.997613	3.005	6.2
3.9	0.997314	3.005	6.1
4	0.997213	3.005	6
4.1	0.996943	3.005	5.9
4.2	0.996915	3.005	5.8
4.3	0.997194	3.005	5.7
4.4	0.99696	3.005	5.6
4.5	0.997022	3.005	5.5
4.6	0.99691	3.005	5.4
4.7	0.997482	3.005	5.3
4.8	0.997351	3.005	5.2
4.9	0.997658	3.005	5.1
5	0.996723	3.005	5
5.1	0.997289	3.005	4.9
5.2	0.99676	3.005	4.8
5.3	0.997394	3.005	4.7
5.4	0.996309	3.005	4.6
5.5	0.995906	3.005	4.5
5.6	0.995768	3.005	4.4
5.7	0.995863	3.005	4.3
5.8	0.99529	3.005	4.2
5.9	0.99361	3.005	4.1
6	0.992894	3.005	4
6.1	0.993089	3.005	3.9
6.2	0.992965	3.005	3.8
6.3	0.994667	3.005	3.7
6.4	0.996928	3.005	3.6
6.5	0.999853	3.005	3.5
6.6	1.00354	3.005	3.4
6.7	1.00927	3.005	3.3
6.8	1.01378	3.005	3.2
6.9	1.0192	3.005	3.1
7	1.02655	3.005	3
7.1	1.03443	3.005	2.9
7.2	1.04362	3.005	2.8
7.3	1.05104	3.005	2.7
7.4	1.06158	3.005	2.6
7.5	1.07068	3.005	2.5
7.6	1.08263	3.005	2.4
7.7	1.09478	3.005	2.3
7.8	1.10686	3.005	2.2
7.9	1.12092	3.005	2.1
8	1.13316	3.005	2.005
8.03149	1.13565	3.03649	2.00475
8.06299	1.13813	3.06798	2.00401
8.09448	1.14061	3.09945	2.00277
8.12598	1.14308	3.13089	2.00104
8.15747	1.14554	3.16231	1.99882
8.18897	1.14798	3.19369	1.9961
8.22046	1.15041	3.22502	1.99289
8.25196	1.15283	3.25629	1.98919
8.28345	1.15522	3.28751	1.985
8.31494	1.15759	3.31865	1.98032
