# s	g2	z	x
0	1.00005	3.005	10
0.1	1.00003	3.005	9.9
0.2	1	3.005	9.8
0.3	0.999968	3.005	9.7
0.4	0.999931	3.005	9.6
0.5	0.999894	3.005	9.5
0.6	0.999861	3.005	9.4
0.7	0.999839	3.005	9.3
0.8	0.999832	3.005	9.2
0.9	0.999845	3.005	9.1
1	0.99988	3.005	9
1.1	0.999938	3.005	8.9
1.2	1.00002	3.005	8.8
1.3	1.00011	3.005	8.7
1.4	1.00021	3.005	8.6
1.5	1.00031	3.005	8.5
1.6	1.0004	3.005	8.4
1.7	1.00045	3.005	8.3
1.8	1.00045	3.005	8.2
1.9	1.0004	3.005	8.1
2	1.00029	3.005	8
2.1	1.00011	3.005	7.9
2.2	0.999882	3.005	7.8
2.3	0.999614	3.005	7.7
2.4	0.999333	3.005	7.6
2.5	0.999072	3.005	7.5
2.6	0.99887	3.005	7.4
2.7	0.998764	3.005	7.3
2.8	0.998792	3.005	7.2
2.9	0.99898	3.005	7.1
3	0.999343	3.005	7
3.1	0.999874	3.005	6.9
3.2	1.00055	3.005	6.8
3.3	1.00131	3.005	6.7
3.4	1.00208	3.005	6.6
3.5	1.00277	3.005	6.5
3.6	1.00327	3.005	6.4
3.7	1.00348	3.005	6.3
3.8	1.0033	3.005	6.2
3.9	1.00265	3.005	6.1
4	1.00151	3.005	6
4.1	0.999915	3.005	5.9
4.2	0.997949	3.005	5.8
4.3	0.995771	3.005	5.7
4.4	0.993603	3.005	5.6
4.5	0.991717	3.005	5.5
4.6	0.990413	3.005	5.4
4.7	0.989986	3.005	5.3
4.8	0.990694	3.005	5.2
4.9	0.992713	3.005	5.1
5	0.996099	3.005	5
5.1	1.00076	3.005	4.9
5.2	1.00641	3.005	4.8
5.3	1.01262	3.005	4.7
5.4	1.01876	3.005	4.6
5.5	1.02409	3.005	4.5
5.6	1.02782	3.005	4.4
5.7	1.02918	3.005	4.3
5.8	1.02752	3.005	4.2
5.9	1.02245	3.005	4.1
6	1.01389	3.005	4
6.1	1.0022	3.005	3.9
6.2	0.988208	3.005	3.8
6.3	0.973221	3.005	3.7
6.4	0.958956	3.005	3.6
6.5	0.94744	3.005	3.5
6.6	0.940834	3.005	3.4
6.7	0.941215	3.005	3.3
6.8	0.950334	3.005	3.2
6.9	0.969381	3.005	3.1
7	0.998797	3.005	3
7.1	1.03817	3.005	2.9
7.2	1.08625	3.005	2.8
7.3	1.14119	3.005	2.7
7.4	1.20089	3.005	2.6
7.5	1.2637	3.005	2.5
7.6	1.32923	3.005	2.4
7.7	1.39944	3.005	2.3
7.8	1.4799	3.005	2.2
7.9	1.58118	3.005	2.1
8	1.71215	3.005	2.005
8.03149	1.71506	3.03649	2.00475
8.06299	1.71755	3.06798	2.00401
8.09448	1.71969	3.09945	2.00277
8.12598	1.72153	3.13089	2.00104
8.15747	1.72312	3.16231	1.99882
8.18897	1.72449	3.19369	1.9961
8.22046	1.72569	3.22502	1.99289
8.25196	1.72674	3.25629	1.98919
8.28345	1.72767	3.28751	1.985
8.31494	1.72851	3.31865	1.98032
8.34644	1.72927	3.34972	1.97514
8.37793	1.72998	3.3807	1.96949
8.40943	1.73065	3.41159	1.96334
8.44092	1.73129	3.44238	1.95671
8.47242	1.73192	3.47306	1.9496
8.50391	1.73254	3.50362	1.94201
8.53541	1.73317	3.53407	1.93394
8.5669	1.73381	3.56438	1.92539
8.59839	1.73446	3.59455	1.91636
8.62989	1.73513	3.62458	1.90687
8.66138	1.73582	3.65445	1.8969
8.69288	1.73653	3.68417	1.88647
8.72437	1.73727	3.71372	1.87557
8.75587	1.73803	3.74309	1.8642
8.78736	1.73881	3.77228	1.85238
8.81886	1.73961	3.80128	1.8401
8.85035	1.74043	3.83009	1.82736
8.88185	1.74126	3.85869	1.81418
8.91334	1.74211	3.88708	1.80055
8.94483	1.74297	3.91525	1.78647
8.97633	1.74384	3.9432	1.77195
9.00782	1.74471	3.97092	1.75699
9.03932	1.74558	3.99839	1.74161
9.07081	1.74644	4.02563	1.72579
9.10231	1.7473	4.05261	1.70954
9.1338	1.74814	4.07933	1.69288
9.1653	1.74896	4.10579	1.67579
9.19679	1.74976	4.13198	1.6583
9.22828	1.75054	4.15789	1.64039
9.25978	1.75129	4.18351	1.62208
9.29127	1.752	4.20884	1.60337
9.32277	1.75268	4.23388	1.58426
9.35426	1.75332	4.25861	1.56476
9.38576	1.75391	4.28304	1.54488
9.41725	1.75446	4.30714	1.52461
9.44875	1.75497	4.33093	1.50397
9.48024	1.75542	4.35439	1.48296
9.51173	1.75582	4.37752	1.46158
9.54323	1.75616	4.40031	1.43984
9.57472	1.75645	4.42275	1.41775
9.60622	1.75669	4.44484	1.39531
9.63771	1.75687	4.46658	1.37252
9.66921	1.75699	4.48796	1.34939
9.7007	1.75705	4.50897	1.32593
9.7322	1.75706	4.52961	1.30214
9.76369	1.75702	4.54988	1.27804
9.79518	1.75692	4.56976	1.25361
9.82668	1.75677	4.58926	1.22888
9.85817	1.75657	4.60837	1.20384
9.88967	1.75632	4.62708	1.17851
9.92116	1.75602	4.64539	1.15289
9.95266	1.75568	4.6633	1.12698
9.98415	1.7553	4.68079	1.10079
10.0156	1.75488	4.69788	1.07433
10.0471	1.75442	4.71454	1.04761
10.0786	1.75393	4.73079	1.02063
10.1101	1.75341	4.74661	0.993395
10.1416	1.75286	4.76199	0.965916
10.1731	1.75228	4.77695	0.938199
10.2046	1.75169	4.79147	0.910251
10.2361	1.75108	4.80555	0.882078
10.2676	1.75045	4.81918	0.853687
10.2991	1.74982	4.83236	0.825086
10.3306	1.74917	4.8451	0.796282
10.3621	1.74852	4.85738	0.76728
10.3936	1.74787	4.8692	0.73809
10.4251	1.74722	4.88057	0.708717
10.4566	1.74658	4.89147	0.67917
10.4881	1.74594	4.9019	0.649454
10.5196	1.74532	4.91187	0.619579
10.5511	1.7447	4.92136	0.589551
10.5825	1.74411	4.93039	0.559377
10.614	1.74353	4.93894	0.529065
10.6455	1.74297	4.94701	0.498623
10.677	1.74243	4.9546	0.468058
10.7085	1.74192	4.96171	0.437377
10.74	1.74143	4.96834	0.406589
10.7715	1.74098	4.97449	0.3757
10.803	1.74055	4.98014	0.344718
10.8345	1.74016	4.98532	0.313651
10.866	1.73979	4.99	0.282507
10.8975	1.73947	4.99419	0.251293
10.929	1.73917	4.99789	0.220017
10.9605	1.73886	5.0011	0.188687
10.992	1.73863	5.00382	0.15731
11.0235	1.73841	5.00604	0.125895
11.055	1.73824	5.00777	0.0944484
11.0865	1.73812	5.00901	0.0629786
11.118	1.73804	5.00975	0.0314932
11.1444	1.73802	5.01	0
11.2444	1.58907	5.11	0
11.3444	1.4833	5.21	0
11.4444	1.40069	5.31	0
11.5444	1.32935	5.41	0
11.6444	1.26313	5.51	0
11.7444	1.19982	5.61	0
11.8444	1.13969	5.71	0
11.9444	1.08438	5.81	0
12.0444	1.036	5.91	0
