# version: 0.0.0-706-g5794781-dirty
# well_width: 1.3
# ff: 0.04857385103010878
# N: 17
# walls: 0
# cell dimensions: (11.36, 11.36, 11.36)
# seed: 0
# de_g: 0.05
# de_density: 0.1
# translation_scale: 0.1
# neighbor_scale: 2
# energy_levels: 154
# min_T: 0.5

# pessimmistic_min_samples: 10000
# iterations: 390239163
# working moves: 4976906011
# total moves: 6634065771
# acceptance rate: 0.750205
# converged state: 37
# converged temperature: 0.502277

# max_entropy_state: 4
# min_important_energy: 37

# energy   counts
0  0
1  1.68378
2  2.59172
3  3.02333
4  3.09901
5  2.8908
6  2.44909
7  1.80954
8  1.00181
9  0.0527317
10  -1.02027
11  -2.19688
12  -3.46178
13  -4.80122
14  -6.20385
15  -7.66119
16  -9.16521
17  -10.7087
18  -12.2878
19  -13.8974
20  -15.5327
21  -17.1896
22  -18.8669
23  -20.5649
24  -22.2818
25  -24.0185
26  -25.7718
27  -27.5425
28  -29.3318
29  -31.1419
30  -32.9701
31  -34.8178
32  -36.6845
33  -38.5743
34  -40.4858
35  -42.4243
36  -44.3892
37  -46.3801
